Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","2008","2008","1000 t","680911","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","2009","2009","1000 t","683043","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","2010","2010","1000 t","646386","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","2011","2011","1000 t","692023","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","2012","2012","1000 t","664269","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2511","Wheat and products","2013","2013","1000 t","708443","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1961","1961","1000 t","8158","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1962","1962","1000 t","9193","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1963","1963","1000 t","8911","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1964","1964","1000 t","12304","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1965","1965","1000 t","11294","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1966","1966","1000 t","10917","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1967","1967","1000 t","10352","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1968","1968","1000 t","13288","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1969","1969","1000 t","15829","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1970","1970","1000 t","16070","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1971","1971","1000 t","11679","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1972","1972","1000 t","14069","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1973","1973","1000 t","20848","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1974","1974","1000 t","17255","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1975","1975","1000 t","14618","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1976","1976","1000 t","20864","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1977","1977","1000 t","20808","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1978","1978","1000 t","20619","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1979","1979","1000 t","20158","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1980","1980","1000 t","23553","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1981","1981","1000 t","17907","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1982","1982","1000 t","20077","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1983","1983","1000 t","21283","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1984","1984","1000 t","22177","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1985","1985","1000 t","24402","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1986","1986","1000 t","23456","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1987","1987","1000 t","26826","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1988","1988","1000 t","24437","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1989","1989","1000 t","27163","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1990","1990","1000 t","30495","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1991","1991","1000 t","29210","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1992","1992","1000 t","23925","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1993","1993","1000 t","23103","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1994","1994","1000 t","22600","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1995","1995","1000 t","21957","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1996","1996","1000 t","21791","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1997","1997","1000 t","22726","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1998","1998","1000 t","22477","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","1999","1999","1000 t","21791","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","2000","2000","1000 t","21692","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","2001","2001","1000 t","21304","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","2002","2002","1000 t","21117","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","2003","2003","1000 t","20296","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","2004","2004","1000 t","21542","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","2005","2005","1000 t","22431","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","2006","2006","1000 t","22803","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","2007","2007","1000 t","22685","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","2008","2008","1000 t","24449","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","2009","2009","1000 t","25514","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","2010","2010","1000 t","25357","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","2011","2011","1000 t","26341","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","2012","2012","1000 t","26087","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5123","Losses","F2511","Wheat and products","2013","2013","1000 t","27533","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1961","1961","1000 t","167325","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1962","1962","1000 t","171686","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1963","1963","1000 t","175319","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1964","1964","1000 t","181979","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1965","1965","1000 t","189866","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1966","1966","1000 t","191924","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1967","1967","1000 t","193138","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1968","1968","1000 t","197448","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1969","1969","1000 t","202513","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1970","1970","1000 t","207918","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1971","1971","1000 t","210288","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1972","1972","1000 t","221816","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1973","1973","1000 t","228509","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1974","1974","1000 t","229954","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1975","1975","1000 t","234658","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1976","1976","1000 t","235163","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1977","1977","1000 t","245609","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1978","1978","1000 t","264113","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1979","1979","1000 t","273061","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1980","1980","1000 t","282953","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1981","1981","1000 t","290375","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1982","1982","1000 t","298793","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1983","1983","1000 t","312079","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1984","1984","1000 t","317904","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1985","1985","1000 t","328913","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1986","1986","1000 t","336941","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1987","1987","1000 t","347048","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1988","1988","1000 t","353385","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1989","1989","1000 t","358027","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1990","1990","1000 t","354355","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1991","1991","1000 t","377507","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1992","1992","1000 t","378939","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1993","1993","1000 t","383513","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1994","1994","1000 t","391989","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1995","1995","1000 t","398982","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1996","1996","1000 t","398208","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1997","1997","1000 t","405330","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1998","1998","1000 t","411225","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","1999","1999","1000 t","414218","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","2000","2000","1000 t","417759","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","2001","2001","1000 t","418799","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","2002","2002","1000 t","418748","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","2003","2003","1000 t","416606","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","2004","2004","1000 t","419729","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","2005","2005","1000 t","422610","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","2006","2006","1000 t","429319","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","2007","2007","1000 t","431674","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","2008","2008","1000 t","433994","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","2009","2009","1000 t","436164","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","2010","2010","1000 t","445005","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","2011","2011","1000 t","446932","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","2012","2012","1000 t","448501","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5142","Food","F2511","Wheat and products","2013","2013","1000 t","457823","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1961","1961","1000 t","143753","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1962","1962","1000 t","150960","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1963","1963","1000 t","164750","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1964","1964","1000 t","175297","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1965","1965","1000 t","169384","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1966","1966","1000 t","174105","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1967","1967","1000 t","184907","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1968","1968","1000 t","192339","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1969","1969","1000 t","196997","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1970","1970","1000 t","210836","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1971","1971","1000 t","211746","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1972","1972","1000 t","204784","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1973","1973","1000 t","223217","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1974","1974","1000 t","221239","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1975","1975","1000 t","237899","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1976","1976","1000 t","231710","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1977","1977","1000 t","246242","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1978","1978","1000 t","256731","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1979","1979","1000 t","250077","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1980","1980","1000 t","264488","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1981","1981","1000 t","273285","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1982","1982","1000 t","281201","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1983","1983","1000 t","298582","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1984","1984","1000 t","310118","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1985","1985","1000 t","311978","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1986","1986","1000 t","312314","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1987","1987","1000 t","307471","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1988","1988","1000 t","324821","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1989","1989","1000 t","342782","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1990","1990","1000 t","345525","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1991","1991","1000 t","345610","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1992","1992","1000 t","352155","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1993","1993","1000 t","353722","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1994","1994","1000 t","359052","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1995","1995","1000 t","364811","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1996","1996","1000 t","379137","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1997","1997","1000 t","384527","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1998","1998","1000 t","385992","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","1999","1999","1000 t","407185","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","001","World","5511","Production","F2805","Rice (Milled Equivalent)","2000","2000","1000 t","399149","E","Estimated value"
